Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Aggregation,DUID,Reg Cap (MW)
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,ADPBA1G,3.14
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Load,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,ADPBA1L,3.14
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Run of River,Y,ADPMH1,1.44
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,Y,ADPPV3,0.02
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,Y,ADPPV2,0.2
South Australian Water Corporation,Adelaide Desalination Plant,SA1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,ADPPV1,24.75
AGL Hydro Partnership,Agl Kemps Creek,NSW1,Generator,Market,Non-Scheduled,Renewable/ Biomass / Waste,Landfill Methane / Landfill Gas,Combustion,Compression Reciprocating Engine,Y,AGLSITA1,1.0
Snowy Hydro Limited,Angaston Power Station,SA1,Generator,Market,Scheduled,Fossil,Diesel,Combustion,Compression Reciprocating Engine,Y,ANGAST1,50.0
EDL Group Operations Pty Ltd,Appin Power Plant,NSW1,Generator,Market,Non-Scheduled,Fossil,Waste Coal Mine Gas,Combustion,Spark Ignition Reciprocating Engine,N,APPIN,55.6
Ararat Wind Farm Pty Ltd,Ararat Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,ARWF1,241.59
Iberdrola Australia Energy Markets Pty Ltd,Avonlie Solar Farm,NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,AVLSF1,254.1
AETV Pty Ltd,Bairnsdale Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,BDL01,47.0
AETV Pty Ltd,Bairnsdale Power Station,VIC1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,OCGT,Y,BDL02,47.0
Diamond Energy Pty Ltd,Baking Board Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,Y,BAKING1,17.0
Alinta Energy Retail Sales Pty Ltd,Bald Hills Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,BALDHWF1,106.6
Enel X Australia Pty Ltd,Ballarat Base Hospital Plant,VIC1,Generator,Market,Non-Scheduled,Fossil,Natural Gas,Combustion,Compression Reciprocating Engine,N,BBASEHOS,3.0
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,Generator,Market,Scheduled,Battery storage,Grid,Storage,Battery,Y,BALBG1,30.0
EnergyAustralia Pty Ltd,Ballarat Battery Energy Storage System,VIC1,Load,Market,Scheduled,-,-,Storage,Battery,Y,BALBL1,30.0
BWF Nominees Pty Ltd as The Trustee for BWF Trust,Bango 973 Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,BANGOWF1,159.0
BWF Nominees Pty Ltd as The Trustee for BWF Trust,Bango 999 Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind,Y,BANGOWF2,84.8
AGL Hydro Partnership,Banimboola Power Station,VIC1,Generator,Market,Non-Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,BAPS,12.85
Alinta Energy Retail Sales Pty Ltd,Bannerton Solar Park,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,PV,Y,BANN1,100.0
Ergon Energy Queensland Pty Ltd,Barcaldine Power Station,QLD1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,CCGT,Y,BARCALDN,37.0
Diamond Energy Pty Ltd,Barcaldine Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,PV,Y,BARCSF1,20.0
AGL SA Generation Pty Limited,Barker Inlet Power Station,SA1,Generator,Market,Scheduled,Fossil,Natural Gas,Combustion,Compression Reciprocating Engine,Y,BARKIPS1,211.0
CleanCo Queensland Limited,Barron Gorge Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Run of River,Y,BARRON-1,30.0
CleanCo Queensland Limited,Barron Gorge Power Station,QLD1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Run of River,Y,BARRON-2,30.0
Basslink Pty Ltd,Basslink HVDC Link,TAS1,Generator,Market,Non-Scheduled,,,,,N,BLNKTAS,478.0
Basslink Pty Ltd,Basslink HVDC Link,VIC1,Generator,Market,Non-Scheduled,,,,,N,BLNKVIC,594.0
Hydro-Electric Corporation,Bastyan Power Station,TAS1,Generator,Market,Scheduled,Hydro,Water,Renewable,Hydro - Gravity,Y,BASTYAN,79.9
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,Y,BW01,660.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,Y,BW02,660.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,Y,BW03,660.0
AGL Macquarie Pty Limited,Bayswater Power Station,NSW1,Generator,Market,Scheduled,Fossil,Black Coal,Combustion,Steam Sub-Critical,Y,BW04,660.0
