,network_region,code,fueltech,capacity_registered,status,data_first_seen,lat,lon,station_name,station_code
0,NSW1,APPIN,gas_wcmg,55.0,operating,,-34.210868,150.792711,Appin,APPIN
1,NSW1,AVLSF1,solar_utility,245.0,operating,,-34.91911505022873,146.60953991534387,Avonlie,AVLSF
2,NSW1,AWABAREF,bioenergy_biogas,1.0,retired,,-33.023339,151.551228,Awaba,AWABAREF
3,NSW1,BANGOWF2,wind,84.8,operating,2021-06-05T00:25:00+10:00,-34.767207772932835,148.92149870748742,Bango,BANGOWF
4,NSW1,BANGOWF1,wind,244.0,operating,2020-12-01T00:25:00+10:00,-34.767207772932835,148.92149870748742,Bango,BANGOWF
5,NSW1,BANKSPT1,distillate,1.0,retired,,-33.919998,151.033742,Bankstown Sports Club,BANKSPT
6,NSW1,BW03,coal_black,660.0,operating,1998-12-07T01:50:00+10:00,-32.3935017885229,150.953963043732,Bayswater,BAYSW
7,NSW1,BW01,coal_black,660.0,operating,1998-12-07T01:50:00+10:00,-32.3935017885229,150.953963043732,Bayswater,BAYSW
8,NSW1,BW04,coal_black,660.0,operating,1998-12-07T01:50:00+10:00,-32.3935017885229,150.953963043732,Bayswater,BAYSW
9,NSW1,BW02,coal_black,660.0,operating,1998-12-07T01:50:00+10:00,-32.3935017885229,150.953963043732,Bayswater,BAYSW
10,NSW1,BERYLSF1,solar_utility,98.0,operating,2019-04-01T00:25:00+10:00,-32.347501,149.460738,Beryl,BERYLSF
11,NSW1,GULLRWF2,wind,110.67,operating,2020-05-01T00:25:00+10:00,-34.58783555632732,149.36984787301526,Biala,BIALAWF
12,NSW1,BLAYNEY,wind,9.9,operating,,-33.621944,149.198333,Blayney,BLAYNEY
13,NSW1,BLOWERNG,hydro,80.0,operating,2001-06-22T21:25:00+10:00,-35.3974021381011,148.247225084376,Blowering,SNOWY6
14,NSW1,SNOWY6,hydro,80.0,retired,1998-12-07T01:50:00+10:00,-35.3974021381011,148.247225084376,Blowering,SNOWY6
15,NSW1,BOCORWF1,wind,113.0,operating,2014-08-28T23:55:00+10:00,-36.574526757506106,149.12486288728599,Boco Rock,BOCOROCK
16,NSW1,BODWF1,wind,113.0,operating,2018-07-09T23:25:00+10:00,-32.407128,149.04133000000002,Bodangora,BODWF
17,NSW1,BOMENSF1,solar_utility,121.0,operating,2020-03-01T00:25:00+10:00,,,Bomen,BOMENSF
18,NSW1,BWTR1,bioenergy_biogas,38.0,operating,,-29.016483,153.44575600000002,Broadwater,BWTR1
19,NSW1,BROKENH1,solar_utility,27.0,operating,2015-08-01T00:25:00+10:00,-31.988905,141.391547,Broken Hill,BROKENH
20,NSW1,GB01,distillate,50.0,operating,2010-10-31T23:25:00+10:00,-31.9863131909747,141.420620039361,Broken Hill,BHILLGT
21,NSW1,BHBL1,battery_charging,66.0,operating,,-31.986163906693065,141.42288679594998,Broken Hill Battery,BHB
22,NSW1,BHBG1,battery_discharging,66.0,operating,,-31.986163906693065,141.42288679594998,Broken Hill Battery,BHB
23,NSW1,BROWNMT,hydro,5.0,operating,,-36.594993,149.473997,Brown Mountain,BROWNMT
24,NSW1,BDONGHYD,hydro,19.0,operating,,-32.664646999999995,149.108016,Burrendong,BDONGHYD
25,NSW1,BURRIN,hydro,27.0,operating,,-35.003532219190895,148.57989053933,Burrinjuck,BURRIN
26,NSW1,CAPTL_WF,wind,140.0,operating,2010-10-31T23:25:00+10:00,-35.123534200872996,149.500248815014,Capital,CAPTL_WF
27,NSW1,CESF1,solar_utility,1.0,operating,,-35.180684,149.546482,Capital East,CESF
28,NSW1,COLEASF1,solar_utility,180.0,operating,2018-09-01T00:25:00+10:00,-34.759494000000004,145.92983999999998,Coleambally,COLEASF
29,NSW1,COLWF01,wind,113.0,operating,2020-11-01T00:25:00+10:00,-34.82387856332685,149.39679534436084,Collector,COLWF01
30,NSW1,CG4,gas_ocgt,181.0,operating,2009-05-20T09:55:00+10:00,-33.2087809607995,151.543540042872,Colongra,COLONGRA
31,NSW1,CG2,gas_ocgt,181.0,operating,2009-05-20T09:55:00+10:00,-33.2087809607995,151.543540042872,Colongra,COLONGRA
32,NSW1,CG3,gas_ocgt,181.0,operating,2009-05-20T09:55:00+10:00,-33.2087809607995,151.543540042872,Colongra,COLONGRA
33,NSW1,CG1,gas_ocgt,181.0,operating,2009-05-20T09:55:00+10:00,-33.2087809607995,151.543540042872,Colongra,COLONGRA
34,NSW1,CONDONG1,bioenergy_biogas,30.0,operating,,-28.314766,153.433808,Condong,CONDONG1
35,NSW1,COPTNHYD,hydro,22.5,operating,,-29.907544,150.930235,Copeton,COPTNHYD
36,NSW1,CRWASF1,solar_utility,35.99,committed,2021-02-01T00:25:00+10:00,-35.98629033640848,146.36145628096025,Corowa,CRWASF1
37,NSW1,CROOKWEL,wind,4.8,operating,,-34.5165,149.54248,Crookwell,CROOKWEL
38,NSW1,CROOKWF2,wind,96.0,operating,2018-07-31T22:55:00+10:00,-34.547676,149.589254,Crookwell 2,CROOKWF2
39,NSW1,CRURWF1,wind,141.0,operating,2020-11-01T00:25:00+10:00,-32.86474841023679,149.81297006628185,Crudine Ridge,CRURWF1
40,NSW1,CULLRGWF,wind,30.0,operating,2010-10-31T23:25:00+10:00,-34.7509945681949,149.38102679924802,Cullerin Range,CULLERIN
41,NSW1,DARLSF1,solar_utility,324.0,operating,2020-08-01T00:25:00+10:00,-34.64480799740922,146.03575554070937,Darlington Point,DARLSF
42,NSW1,DPNTBL1,battery_charging,25.0,operating,,-34.64666830459466,146.0349818819095,Darlington Point,DPNTB
43,NSW1,DPNTBG1,battery_discharging,25.0,operating,,-34.64666830459466,146.0349818819095,Darlington Point,DPNTB
44,NSW1,PMATTAEP,gas_recip,4.0,retired,,-33.824397,151.04214199999998,Earthpower,PMATTAEP
45,NSW1,EASTCRK,bioenergy_biogas,5.0,operating,,-33.815468,150.854307,Eastern Creek,EASTCRK
46,NSW1,EASTCRK2,bioenergy_biogas,8.98,operating,,-33.815468,150.854307,Eastern Creek 2,EASTCRK2
47,NSW1,ER01,coal_black,720.0,operating,1998-12-07T01:50:00+10:00,-33.0615480516907,151.524612285081,Eraring,ERARING
48,NSW1,ER02,coal_black,720.0,operating,1998-12-07T01:50:00+10:00,-33.0615480516907,151.524612285081,Eraring,ERARING
49,NSW1,ER04,coal_black,720.0,operating,1998-12-07T08:30:00+10:00,-33.0615480516907,151.524612285081,Eraring,ERARING
50,NSW1,ER03,coal_black,720.0,operating,1998-12-07T01:50:00+10:00,-33.0615480516907,151.524612285081,Eraring,ERARING
51,NSW1,ERGT01,distillate,42.0,operating,2013-05-26T23:25:00+10:00,-33.062117,151.517224,Eraring,ERGT01
52,NSW1,FINLYSF1,solar_utility,162.0,operating,2019-07-01T00:25:00+10:00,-35.64421,145.508644,Finley,FINLEYSF
53,NSW1,FLYCRKWF,wind,3.8,operating,,-33.52147510941558,149.04523360122465,Flyers Creek Wind Farm,FLYCRKWF
54,NSW1,GLBWNHYD,hydro,5.5,operating,,-32.107937,150.999481,Glenbawn,GLBWNHYD
55,NSW1,GLENNCRK,gas_wcmg,12.0,operating,,-32.464343,151.130432,Glennies Creek,GLENNCRK
56,NSW1,GOONSF1,solar_utility,85.0,operating,2020-05-01T00:25:00+10:00,,,Goonumbla,GOONUMSF
57,NSW1,GRANGEAV,bioenergy_biogas,2.0,operating,,-33.713011,150.83316000000002,Grange Avenue,GRANGEAV
58,NSW1,GRIFSF1,solar_utility,27.0,operating,2018-04-01T00:25:00+10:00,-34.317414,146.120739,Griffith,GRIFSF
59,NSW1,GULLRWF1,wind,165.0,operating,2013-11-18T23:55:00+10:00,-34.624511555250805,149.458548623602,Gullen Range,GULLRGWF
60,NSW1,GULLRSF1,solar_utility,10.0,operating,2017-08-14T23:55:00+10:00,-34.624511555250805,149.458548623602,Gullen Range,GULLRGWF
61,NSW1,GNNDHSF1,solar_utility,144.0,committed,2021-06-29T10:55:00+10:00,-30.965468597893086,150.36791728427633,Gunnedah,GNNDHSF
62,NSW1,GUNNING1,wind,47.0,operating,2011-03-24T23:55:00+10:00,-34.676360746605894,149.66443017949499,Gunning,GUNNING
63,NSW1,GUTHEGA,hydro,60.0,operating,2001-06-22T21:25:00+10:00,-36.3497724824309,148.414030190556,Guthega,SNOWY3
64,NSW1,SNOWY3,hydro,,retired,1998-12-07T03:15:00+10:00,-36.3497724824309,148.414030190556,Guthega,SNOWY3
65,NSW1,HAMPTON,wind,1.32,operating,,-33.649722,150.05,Hampton,HAMPTON
66,NSW1,HILLSTN1,solar_utility,110.0,committed,2021-10-05T12:10:00+10:00,-33.53299147224749,145.5222788865883,Hillston Sun,HILLSTN
67,NSW1,HUMENSW,hydro,29.0,operating,1998-12-08T21:25:00+10:00,-36.1063825051951,147.032263443678,Hume,HUMENSW
68,NSW1,HEZ1,distillate,28.0,operating,,-32.835481,151.451033,Hunter Economic Zone,HEZ
69,NSW1,HEZ,distillate,29.0,retired,,-32.835481,151.451033,Hunter Economic Zone,HEZ
70,NSW1,HVGTS,distillate,50.0,operating,1998-12-07T10:25:00+10:00,-32.3899891907919,150.965962887934,Hunter Valley,HUNTVGT
71,NSW1,JACKSGUL,bioenergy_biogas,2.0,operating,,-34.072955,150.74369099999998,Jacks Gully,JACKSGUL
72,NSW1,JEMALNG1,solar_utility,55.0,operating,2020-12-01T00:25:00+10:00,-33.388764003159444,147.66937504508036,Jemalong,JEMALNG1
73,NSW1,JNDABNE1,hydro,1.0,operating,,-36.434917999999996,148.63057,Jindabyne,JNDSHPS
74,SNOWY1,SNWYGJP2,pumps,70.0,retired,,-36.434917999999996,148.63057,Jindabyne Pump At Guthega,SNWYGJP2
75,VIC1,SNOWYGJP,pumps,70.0,operating,2019-11-11T00:25:00+10:00,-36.434917999999996,148.63057,Jindabyne Pump At Guthega,SNWYGJP2
76,NSW1,JOUNAMA1,hydro,14.0,operating,,-35.561274,148.306384,Jounama,JOUNAMA
77,NSW1,JUNEESF1,solar_utility,30.0,committed,2021-05-25T12:40:00+10:00,-34.81124045584803,147.5720987420689,Junee,JUNEESF
78,NSW1,KEEPIT,hydro,6.0,operating,,-30.87868,150.491876,Keepit,KEEPIT
79,NSW1,AGLSITA1,bioenergy_biogas,1.0,operating,,,,Kemps Creek,AGLSITA
80,NSW1,KINCUM1,bioenergy_biogas,1.0,operating,,-33.477111,151.402603,Kincumber,KINCUMB
81,NSW1,KKGTS,gas_ccgt,,retired,1998-12-07T10:45:00+10:00,,,Koolkhan,KOOLKHAN
82,NSW1,LD03,coal_black,500.0,retired,1998-12-07T20:25:00+10:00,-32.3690267892295,150.980112150275,Liddell,LIDDELL
83,NSW1,LD04,coal_black,500.0,retired,1998-12-07T20:25:00+10:00,-32.3690267892295,150.980112150275,Liddell,LIDDELL
84,NSW1,LD02,coal_black,500.0,retired,1998-12-07T01:50:00+10:00,-32.3690267892295,150.980112150275,Liddell,LIDDELL
85,NSW1,LD01,coal_black,500.0,retired,1998-12-07T01:50:00+10:00,-32.3690267892295,150.980112150275,Liddell,LIDDELL
86,NSW1,LIMOSF11,solar_utility,275.0,operating,2020-06-01T00:25:00+10:00,-34.7755018,143.50804630000002,Limondale,LIMOSF1
87,NSW1,LIMOSF21,solar_utility,38.0,operating,2019-12-01T00:25:00+10:00,-34.7755018,143.50804630000002,Limondale 2,LIMOSF2
88,NSW1,LUCAS2S2,bioenergy_biogas,5.0,operating,,-34.044088,150.972475,Lucas Heights 2,LUCAS2S2
89,NSW1,LUCASHGT,bioenergy_biogas,12.65,retired,,,,Lucas Heights 2,LUCASHGT
90,NSW1,MANSLR1,solar_utility,25.0,operating,2018-04-01T00:25:00+10:00,-33.172831,148.71823999999998,Manildra,MANSLR
91,NSW1,METZSF1,solar_utility,135.0,operating,,,,Metz N,METZSF
92,NSW1,MOLNGSF1,solar_utility,36.0,operating,2020-11-01T00:25:00+10:00,-33.08257771229906,148.90007342453686,Molong,MOLNGSF1
93,NSW1,MOREESF1,solar_utility,57.0,operating,2016-02-08T23:55:00+10:00,-29.572607,149.861266,Moree,MOREESF
94,NSW1,MP2,coal_black,700.0,operating,1998-12-07T01:50:00+10:00,-33.3607151085441,150.03569813637,Mt Piper,MP
95,NSW1,MP1,coal_black,700.0,operating,1998-12-07T01:50:00+10:00,-33.3607151085441,150.03569813637,Mt Piper,MP
96,NSW1,MLSP1,solar_utility,12.0,operating,2016-11-16T12:55:00+10:00,-35.398441,149.14906000000002,Mugga Lane,MLSP
97,NSW1,MM3,coal_black,300.0,retired,1998-12-07T01:50:00+10:00,-33.211781,151.54216100000002,Munmorah,MM
98,NSW1,MM4,coal_black,300.0,retired,1998-12-07T20:25:00+10:00,-33.211781,151.54216100000002,Munmorah,MM
99,NSW1,NASF1,solar_utility,10.0,operating,,-32.218323,148.254523,Narromine,NASF
100,NSW1,NEVERSF1,solar_utility,132.0,operating,2019-12-01T00:25:00+10:00,-31.831043800000003,147.70517780000003,Nevertire,NEVERSF
101,NSW1,NEWENSF2,solar_utility,200.0,operating,,-30.627322613322704,151.55642476144078,New England,NEWENSF
102,NSW1,NEWENSF1,solar_utility,200.0,operating,,-30.627322613322704,151.55642476144078,New England,NEWENSF
103,NSW1,NGTS,gas_ocgt,,retired,1998-12-07T10:45:00+10:00,,,Northern,NORTHGT
104,NSW1,NYNGAN1,solar_utility,102.0,operating,2014-12-15T23:55:00+10:00,-31.563191344278497,147.074195112039,Nyngan,NYNGAN
105,NSW1,PARSF1,solar_utility,55.0,operating,2017-12-12T23:55:00+10:00,-33.113056,148.076372,Parkes,PSF
106,NSW1,PINDARI,hydro,6.0,operating,,-29.388034,151.244774,Pindari,PINDARI
107,NSW1,QBYNBL1,battery_charging,10.0,operating,,-35.33943352721403,149.2160653306813,Queanbeyan,QBYNB
108,NSW1,QBYNBG1,battery_discharging,10.0,operating,,-35.33943352721403,149.2160653306813,Queanbeyan,QBYNB
109,NSW1,REDBANK1,coal_black,150.0,retired,2001-01-18T20:55:00+10:00,-32.58,151.072,Redbank,REDBANK1
110,NSW1,RIVNBG2,battery_discharging,65.0,operating,,-34.64666830459466,146.0349818819095,Riverina Battery,RESS
111,NSW1,RIVNBL2,battery_charging,65.0,operating,,-34.64666830459466,146.0349818819095,Riverina Battery,RESS
112,NSW1,RESS1L,battery_charging,80.0,operating,,-34.64666830459466,146.0349818819095,Riverina Battery,RESS
113,NSW1,RESS1G,battery_discharging,80.0,operating,,-34.64666830459466,146.0349818819095,Riverina Battery,RESS
114,NSW1,ROYALLA1,solar_utility,20.0,operating,2016-04-22T23:55:00+10:00,-35.486052460420105,149.141965695762,Royalla,ROYALLA
115,NSW1,RYEPARK1,wind,396.0,operating,,-34.63316963326623,148.95364033809858,Rye Park,RYEPARK
116,NSW1,SAPHWF1,wind,270.0,operating,2017-12-06T23:55:00+10:00,-29.710272999999997,151.44558,Sapphire,SAPHWF1
117,NSW1,SEBSF1,solar_utility,110.0,committed,,-34.60328657660709,147.55475705396842,Sebastopol,SEBSF
118,NSW1,SHPUMP,pumps,240.0,operating,1998-12-07T11:55:00+10:00,-34.7330846446504,150.466700105161,Shoalhaven,SHOALHAV
119,NSW1,SHGEN,hydro,240.0,operating,1998-12-07T10:45:00+10:00,-34.7330846446504,150.466700105161,Shoalhaven,SHOALHAV
120,NSW1,SHOAL1,gas_ocgt,60.0,operating,,-34.85486811643706,150.6164029846568,Shoalhaven Starches,SHOAL
121,NSW1,STWF1,wind,198.0,operating,2018-02-01T00:25:00+10:00,-31.86095,141.296349,Silverton,STWF
122,NSW1,SITHE01,gas_ccgt,39.0,operating,1998-12-07T01:50:00+10:00,-33.8500226284367,150.950050828532,Smithfield,SITHE
123,NSW1,SNOWY4,hydro,,retired,1998-12-07T03:15:00+10:00,,,Snowy,SNOWY4
124,NSW1,SNOWY5,hydro,,retired,1998-12-07T08:15:00+10:00,,,Snowy,SNOWY5
125,NSW1,SKSF1,solar_utility,15.0,operating,,-32.272859999999994,148.64983600000002,South Keswick,SKSF
126,NSW1,STGEORG1,distillate,1.0,operating,,-33.974819000000004,151.129354,St George Leagues Club,STGEORGE
127,NSW1,SUNRSF1,solar_utility,228.0,operating,2020-11-01T00:25:00+10:00,-34.821489157371836,143.50915997932083,Sunraysia,SUNRSF1
128,NSW1,SUNTPSF1,solar_utility,150.0,committed,2021-07-25T00:25:00+10:00,-32.57419982636524,148.86046867468156,Suntop,SUNTPSF
129,NSW1,TAHMOOR1,gas_wcmg,7.0,operating,,-34.249117,150.577718,Tahmoor,TAHMOOR
130,NSW1,TALWA1,gas_ccgt,440.0,operating,2008-06-17T09:55:00+10:00,-34.5230894452804,150.808566045493,Tallawarra,TALLAWAR
131,NSW1,TALWB1,gas_ocgt,320.0,operating,,-34.5230894452804,150.808566045493,Tallawarra B,TALWB
132,NSW1,TARALGA1,wind,106.0,operating,2014-12-10T23:55:00+10:00,-34.4253872675598,149.859603200677,Taralga,TARALGA
133,NSW1,TERALBA,gas_wcmg,3.0,operating,,-32.945557,151.612042,Teralba,TERALBA
134,NSW1,THEDROP1,hydro,3.0,operating,,-35.973527000000004,145.99927399999999,The Drop,THEDROP
135,NSW1,TOWER,gas_wcmg,41.0,operating,,-34.219460999999995,150.71801200000002,Tower,TOWER
