INTERVAL_DATETIME,BIN_NAME,BIDVOLUME
2021-06-04 00:05:00,"[5000, 10000)",40.0
2021-06-04 00:05:00,"[10000, 16500)",9.0
2021-06-04 00:10:00,"[5000, 10000)",40.0
2021-06-04 00:10:00,"[10000, 16500)",10.0
2021-06-04 00:15:00,"[5000, 10000)",40.0
2021-06-04 00:15:00,"[10000, 16500)",10.0
2021-06-04 00:20:00,"[5000, 10000)",40.0
2021-06-04 00:20:00,"[10000, 16500)",10.0
2021-06-04 00:25:00,"[5000, 10000)",40.0
2021-06-04 00:25:00,"[10000, 16500)",10.0
2021-06-04 00:30:00,"[5000, 10000)",40.0
2021-06-04 00:30:00,"[10000, 16500)",10.0
2021-06-04 00:35:00,"[5000, 10000)",40.0
2021-06-04 00:35:00,"[10000, 16500)",8.0
2021-06-04 00:40:00,"[5000, 10000)",40.0
2021-06-04 00:40:00,"[10000, 16500)",10.0
2021-06-04 00:45:00,"[5000, 10000)",40.0
2021-06-04 00:45:00,"[10000, 16500)",9.0
2021-06-04 00:50:00,"[5000, 10000)",40.0
2021-06-04 00:50:00,"[10000, 16500)",9.0
2021-06-04 00:55:00,"[5000, 10000)",40.0
2021-06-04 00:55:00,"[10000, 16500)",9.0
2021-06-04 01:00:00,"[5000, 10000)",40.0
2021-06-04 01:00:00,"[10000, 16500)",9.0
2021-06-04 01:05:00,"[5000, 10000)",40.0
2021-06-04 01:05:00,"[10000, 16500)",7.0
2021-06-04 01:10:00,"[5000, 10000)",40.0
2021-06-04 01:10:00,"[10000, 16500)",7.0
2021-06-04 01:15:00,"[5000, 10000)",40.0
2021-06-04 01:15:00,"[10000, 16500)",9.0
2021-06-04 01:20:00,"[5000, 10000)",40.0
2021-06-04 01:20:00,"[10000, 16500)",9.0
2021-06-04 01:25:00,"[5000, 10000)",40.0
2021-06-04 01:25:00,"[10000, 16500)",8.0
2021-06-04 01:30:00,"[5000, 10000)",40.0
2021-06-04 01:30:00,"[10000, 16500)",8.0
2021-06-04 01:35:00,"[5000, 10000)",40.0
2021-06-04 01:35:00,"[10000, 16500)",6.0
2021-06-04 01:40:00,"[5000, 10000)",40.0
2021-06-04 01:40:00,"[10000, 16500)",6.0
2021-06-04 01:45:00,"[5000, 10000)",25.0
2021-06-04 01:45:00,"[10000, 16500)",0.0
2021-06-04 01:50:00,"[5000, 10000)",25.0
2021-06-04 01:50:00,"[10000, 16500)",0.0
2021-06-04 01:55:00,"[5000, 10000)",25.0
2021-06-04 01:55:00,"[10000, 16500)",0.0
2021-06-04 02:00:00,"[5000, 10000)",25.0
2021-06-04 02:00:00,"[10000, 16500)",0.0
2021-06-04 02:05:00,"[5000, 10000)",40.0
2021-06-04 02:05:00,"[10000, 16500)",5.0
2021-06-04 02:10:00,"[5000, 10000)",25.0
2021-06-04 02:10:00,"[10000, 16500)",0.0
2021-06-04 02:15:00,"[5000, 10000)",25.0
2021-06-04 02:15:00,"[10000, 16500)",0.0
2021-06-04 02:20:00,"[5000, 10000)",25.0
2021-06-04 02:20:00,"[10000, 16500)",0.0
2021-06-04 02:25:00,"[5000, 10000)",25.0
2021-06-04 02:25:00,"[10000, 16500)",0.0
2021-06-04 02:30:00,"[5000, 10000)",25.0
2021-06-04 02:30:00,"[10000, 16500)",0.0
2021-06-04 02:35:00,"[5000, 10000)",40.0
2021-06-04 02:35:00,"[10000, 16500)",15.0
2021-06-04 02:40:00,"[5000, 10000)",25.0
2021-06-04 02:40:00,"[10000, 16500)",0.0
2021-06-04 02:45:00,"[5000, 10000)",25.0
2021-06-04 02:45:00,"[10000, 16500)",0.0
2021-06-04 02:50:00,"[5000, 10000)",25.0
2021-06-04 02:50:00,"[10000, 16500)",0.0
2021-06-04 02:55:00,"[5000, 10000)",25.0
2021-06-04 02:55:00,"[10000, 16500)",0.0
2021-06-04 03:00:00,"[5000, 10000)",25.0
2021-06-04 03:00:00,"[10000, 16500)",0.0
2021-06-04 03:05:00,"[5000, 10000)",40.0
2021-06-04 03:05:00,"[10000, 16500)",14.0
2021-06-04 03:10:00,"[5000, 10000)",25.0
2021-06-04 03:10:00,"[10000, 16500)",0.0
2021-06-04 03:15:00,"[5000, 10000)",25.0
2021-06-04 03:15:00,"[10000, 16500)",0.0
2021-06-04 03:20:00,"[5000, 10000)",25.0
2021-06-04 03:20:00,"[10000, 16500)",0.0
2021-06-04 03:25:00,"[5000, 10000)",25.0
2021-06-04 03:25:00,"[10000, 16500)",0.0
2021-06-04 03:30:00,"[5000, 10000)",25.0
2021-06-04 03:30:00,"[10000, 16500)",0.0
2021-06-04 03:35:00,"[5000, 10000)",40.0
2021-06-04 03:35:00,"[10000, 16500)",13.0
2021-06-04 03:40:00,"[5000, 10000)",25.0
2021-06-04 03:40:00,"[10000, 16500)",0.0
2021-06-04 03:45:00,"[5000, 10000)",25.0
2021-06-04 03:45:00,"[10000, 16500)",0.0
2021-06-04 03:50:00,"[5000, 10000)",25.0
2021-06-04 03:50:00,"[10000, 16500)",0.0
2021-06-04 03:55:00,"[5000, 10000)",25.0
2021-06-04 03:55:00,"[10000, 16500)",0.0
2021-06-04 04:00:00,"[5000, 10000)",25.0
2021-06-04 04:00:00,"[10000, 16500)",0.0
2021-06-04 04:05:00,"[5000, 10000)",40.0
2021-06-04 04:05:00,"[10000, 16500)",15.0
2021-06-04 04:10:00,"[5000, 10000)",25.0
2021-06-04 04:10:00,"[10000, 16500)",0.0
2021-06-04 04:15:00,"[5000, 10000)",25.0
2021-06-04 04:15:00,"[10000, 16500)",0.0
2021-06-04 04:20:00,"[5000, 10000)",25.0
2021-06-04 04:20:00,"[10000, 16500)",0.0
2021-06-04 04:25:00,"[5000, 10000)",25.0
2021-06-04 04:25:00,"[10000, 16500)",0.0
2021-06-04 04:30:00,"[5000, 10000)",25.0
2021-06-04 04:30:00,"[10000, 16500)",0.0
2021-06-04 04:35:00,"[5000, 10000)",40.0
2021-06-04 04:35:00,"[10000, 16500)",15.0
2021-06-04 04:40:00,"[5000, 10000)",25.0
2021-06-04 04:40:00,"[10000, 16500)",0.0
2021-06-04 04:45:00,"[5000, 10000)",25.0
2021-06-04 04:45:00,"[10000, 16500)",0.0
2021-06-04 04:50:00,"[5000, 10000)",25.0
2021-06-04 04:50:00,"[10000, 16500)",0.0
2021-06-04 04:55:00,"[5000, 10000)",25.0
2021-06-04 04:55:00,"[10000, 16500)",0.0
2021-06-04 05:00:00,"[5000, 10000)",25.0
2021-06-04 05:00:00,"[10000, 16500)",0.0
2021-06-04 05:05:00,"[200, 300)",15.0
2021-06-04 05:05:00,"[300, 500)",20.0
2021-06-04 05:05:00,"[5000, 10000)",40.0
2021-06-04 05:05:00,"[10000, 16500)",35.0
2021-06-04 05:10:00,"[200, 300)",15.0
2021-06-04 05:10:00,"[300, 500)",20.0
2021-06-04 05:10:00,"[5000, 10000)",25.0
2021-06-04 05:10:00,"[10000, 16500)",20.0
2021-06-04 05:15:00,"[200, 300)",15.0
2021-06-04 05:15:00,"[300, 500)",20.0
2021-06-04 05:15:00,"[5000, 10000)",25.0
2021-06-04 05:15:00,"[10000, 16500)",20.0
2021-06-04 05:20:00,"[200, 300)",15.0
2021-06-04 05:20:00,"[300, 500)",20.0
2021-06-04 05:20:00,"[5000, 10000)",25.0
2021-06-04 05:20:00,"[10000, 16500)",20.0
2021-06-04 05:25:00,"[200, 300)",15.0
2021-06-04 05:25:00,"[300, 500)",20.0
2021-06-04 05:25:00,"[5000, 10000)",25.0
2021-06-04 05:25:00,"[10000, 16500)",20.0
2021-06-04 05:30:00,"[200, 300)",15.0
2021-06-04 05:30:00,"[300, 500)",20.0
2021-06-04 05:30:00,"[5000, 10000)",25.0
2021-06-04 05:30:00,"[10000, 16500)",20.0
2021-06-04 05:35:00,"[50, 100)",16.0
2021-06-04 05:35:00,"[100, 200)",10.0
2021-06-04 05:35:00,"[300, 500)",20.0
2021-06-04 05:35:00,"[5000, 10000)",40.0
2021-06-04 05:35:00,"[10000, 16500)",24.0
2021-06-04 05:40:00,"[50, 100)",15.0
2021-06-04 05:40:00,"[100, 200)",10.0
2021-06-04 05:40:00,"[300, 500)",20.0
2021-06-04 05:40:00,"[5000, 10000)",25.0
2021-06-04 05:40:00,"[10000, 16500)",10.0
2021-06-04 05:45:00,"[50, 100)",15.0
2021-06-04 05:45:00,"[100, 200)",10.0
2021-06-04 05:45:00,"[300, 500)",20.0
2021-06-04 05:45:00,"[5000, 10000)",25.0
2021-06-04 05:45:00,"[10000, 16500)",10.0
2021-06-04 05:50:00,"[50, 100)",15.0
2021-06-04 05:50:00,"[100, 200)",10.0
2021-06-04 05:50:00,"[300, 500)",20.0
2021-06-04 05:50:00,"[5000, 10000)",25.0
2021-06-04 05:50:00,"[10000, 16500)",10.0
2021-06-04 05:55:00,"[50, 100)",15.0
2021-06-04 05:55:00,"[100, 200)",10.0
2021-06-04 05:55:00,"[300, 500)",20.0
2021-06-04 05:55:00,"[5000, 10000)",25.0
2021-06-04 05:55:00,"[10000, 16500)",10.0
2021-06-04 06:00:00,"[50, 100)",15.0
2021-06-04 06:00:00,"[100, 200)",10.0
2021-06-04 06:00:00,"[300, 500)",20.0
2021-06-04 06:00:00,"[5000, 10000)",25.0
2021-06-04 06:00:00,"[10000, 16500)",10.0
2021-06-04 06:05:00,"[50, 100)",26.0
2021-06-04 06:05:00,"[100, 200)",10.0
2021-06-04 06:05:00,"[300, 500)",20.0
2021-06-04 06:05:00,"[5000, 10000)",40.0
2021-06-04 06:05:00,"[10000, 16500)",14.0
2021-06-04 06:10:00,"[50, 100)",25.0
2021-06-04 06:10:00,"[100, 200)",10.0
2021-06-04 06:10:00,"[300, 500)",20.0
2021-06-04 06:10:00,"[5000, 10000)",25.0
2021-06-04 06:10:00,"[10000, 16500)",0.0
2021-06-04 06:15:00,"[50, 100)",25.0
2021-06-04 06:15:00,"[100, 200)",10.0
2021-06-04 06:15:00,"[300, 500)",20.0
2021-06-04 06:15:00,"[5000, 10000)",25.0
2021-06-04 06:15:00,"[10000, 16500)",0.0
2021-06-04 06:20:00,"[50, 100)",25.0
2021-06-04 06:20:00,"[100, 200)",10.0
2021-06-04 06:20:00,"[300, 500)",20.0
2021-06-04 06:20:00,"[5000, 10000)",25.0
2021-06-04 06:20:00,"[10000, 16500)",0.0
2021-06-04 06:25:00,"[50, 100)",25.0
2021-06-04 06:25:00,"[100, 200)",10.0
2021-06-04 06:25:00,"[300, 500)",20.0
2021-06-04 06:25:00,"[5000, 10000)",25.0
2021-06-04 06:25:00,"[10000, 16500)",0.0
2021-06-04 06:30:00,"[50, 100)",25.0
2021-06-04 06:30:00,"[100, 200)",10.0
2021-06-04 06:30:00,"[300, 500)",20.0
2021-06-04 06:30:00,"[5000, 10000)",25.0
2021-06-04 06:30:00,"[10000, 16500)",0.0
2021-06-04 06:35:00,"[0, 50)",5.0
2021-06-04 06:35:00,"[50, 100)",21.0
2021-06-04 06:35:00,"[100, 200)",10.0
2021-06-04 06:35:00,"[300, 500)",20.0
2021-06-04 06:35:00,"[5000, 10000)",40.0
2021-06-04 06:35:00,"[10000, 16500)",14.0
2021-06-04 06:40:00,"[0, 50)",5.0
2021-06-04 06:40:00,"[50, 100)",20.0
2021-06-04 06:40:00,"[100, 200)",10.0
2021-06-04 06:40:00,"[300, 500)",20.0
2021-06-04 06:40:00,"[5000, 10000)",25.0
2021-06-04 06:40:00,"[10000, 16500)",0.0
2021-06-04 06:45:00,"[0, 50)",5.0
2021-06-04 06:45:00,"[50, 100)",20.0
2021-06-04 06:45:00,"[100, 200)",10.0
2021-06-04 06:45:00,"[300, 500)",20.0
2021-06-04 06:45:00,"[5000, 10000)",25.0
2021-06-04 06:45:00,"[10000, 16500)",0.0
2021-06-04 06:50:00,"[0, 50)",5.0
2021-06-04 06:50:00,"[50, 100)",20.0
2021-06-04 06:50:00,"[100, 200)",10.0
2021-06-04 06:50:00,"[300, 500)",20.0
2021-06-04 06:50:00,"[5000, 10000)",25.0
2021-06-04 06:50:00,"[10000, 16500)",0.0
2021-06-04 06:55:00,"[0, 50)",5.0
2021-06-04 06:55:00,"[50, 100)",20.0
2021-06-04 06:55:00,"[100, 200)",10.0
2021-06-04 06:55:00,"[300, 500)",20.0
2021-06-04 06:55:00,"[5000, 10000)",25.0
2021-06-04 06:55:00,"[10000, 16500)",0.0
2021-06-04 07:00:00,"[0, 50)",5.0
2021-06-04 07:00:00,"[50, 100)",20.0
2021-06-04 07:00:00,"[100, 200)",10.0
2021-06-04 07:00:00,"[300, 500)",20.0
2021-06-04 07:00:00,"[5000, 10000)",25.0
2021-06-04 07:00:00,"[10000, 16500)",0.0
2021-06-04 07:05:00,"[0, 50)",5.0
2021-06-04 07:05:00,"[50, 100)",21.0
2021-06-04 07:05:00,"[100, 200)",10.0
2021-06-04 07:05:00,"[300, 500)",20.0
2021-06-04 07:05:00,"[5000, 10000)",40.0
2021-06-04 07:05:00,"[10000, 16500)",14.0
2021-06-04 07:10:00,"[0, 50)",5.0
2021-06-04 07:10:00,"[50, 100)",20.0
2021-06-04 07:10:00,"[100, 200)",10.0
2021-06-04 07:10:00,"[300, 500)",20.0
2021-06-04 07:10:00,"[5000, 10000)",25.0
2021-06-04 07:10:00,"[10000, 16500)",0.0
2021-06-04 07:15:00,"[0, 50)",5.0
2021-06-04 07:15:00,"[50, 100)",20.0
2021-06-04 07:15:00,"[100, 200)",10.0
2021-06-04 07:15:00,"[300, 500)",20.0
2021-06-04 07:15:00,"[5000, 10000)",25.0
2021-06-04 07:15:00,"[10000, 16500)",0.0
2021-06-04 07:20:00,"[0, 50)",5.0
2021-06-04 07:20:00,"[50, 100)",20.0
2021-06-04 07:20:00,"[100, 200)",10.0
2021-06-04 07:20:00,"[300, 500)",20.0
2021-06-04 07:20:00,"[5000, 10000)",25.0
2021-06-04 07:20:00,"[10000, 16500)",0.0
2021-06-04 07:25:00,"[0, 50)",5.0
2021-06-04 07:25:00,"[50, 100)",20.0
2021-06-04 07:25:00,"[100, 200)",10.0
2021-06-04 07:25:00,"[300, 500)",20.0
2021-06-04 07:25:00,"[5000, 10000)",25.0
2021-06-04 07:25:00,"[10000, 16500)",0.0
2021-06-04 07:30:00,"[0, 50)",5.0
2021-06-04 07:30:00,"[50, 100)",20.0
2021-06-04 07:30:00,"[100, 200)",10.0
2021-06-04 07:30:00,"[300, 500)",20.0
